school_name,name,Phone,School_District,ELL_Percent,Special_Needs_Percent,French_Immersion_Percent,score,gr4_reading_2022,gr4_reading_2021,gr4_reading_2020,gr4_reading_2019,gr4_reading_2018,gr4_writing_2022,gr4_writing_2021,gr4_writing_2020,gr4_writing_2019,gr4_writing_2018,gr4_literacy_2022,gr4_literacy_2021,gr4_literacy_2020,gr4_literacy_2019,gr4_literacy_2018,gr4_numeracy_2022,gr4_numeracy_2021,gr4_numeracy_2020,gr4_numeracy_2019,gr4_numeracy_2018,gr7_reading_2022,gr7_reading_2021,gr7_reading_2020,gr7_reading_2019,gr7_reading_2018,gr7_writing_2022,gr7_writing_2021,gr7_writing_2020,gr7_writing_2019,gr7_writing_2018,gr7_literacy_2022,gr7_literacy_2021,gr7_literacy_2020,gr7_literacy_2019,gr7_literacy_2018,gr7_numeracy_2022,gr7_numeracy_2021,gr7_numeracy_2020,gr7_numeracy_2019,gr7_numeracy_2018,gr7_gender_gap_reading_2022,gr7_gender_gap_reading_2021,gr7_gender_gap_reading_2020,gr7_gender_gap_reading_2019,gr7_gender_gap_reading_2018,gr7_gender_gap_literacy_2022,gr7_gender_gap_literacy_2021,gr7_gender_gap_literacy_2020,gr7_gender_gap_literacy_2019,gr7_gender_gap_literacy_2018,gr7_gender_gap_numeracy_2022,gr7_gender_gap_numeracy_2021,gr7_gender_gap_numeracy_2020,gr7_gender_gap_numeracy_2019,gr7_gender_gap_numeracy_2018,below_expectations__2022,below_expectations__2021,below_expectations__2020,below_expectations__2019,below_expectations__2018,tests_not_written__2022,tests_not_written__2021,tests_not_written__2020,tests_not_written__2019,tests_not_written__2018,overall_rating_out_of_10_2022,overall_rating_out_of_10_2021,overall_rating_out_of_10_2020,overall_rating_out_of_10_2019,overall_rating_out_of_10_2018
West Bay Elementary,School Rankings,604 981-1260,West Vancouver,26.8,8.5,0,8.6,Discontinued,577,620,626,641,Discontinued,704,700,784,815,546,n/a,n/a,n/a,n/a,554,598,627,676,672,Discontinued,571,606,585,560,Discontinued,755,809,822,820,549,n/a,n/a,n/a,n/a,576,584,612,579,611,Discontinued,F 47,F 12,M 7,F 35,M 10,n/a,n/a,n/a,n/a,M 44,F 9,F 24,F 9,M 12,5.7,1.6,0.9,1.3,0.3,4.6,14.6,6.8,8.8,4.9,8.6,8.8,10,10,10
Collingwood at Glenmore,School Rankings,604 925-3331,West Vancouver,0,8.2,0,9.8,Discontinued,583,587,567,572,Discontinued,689,747,747,670,596,n/a,n/a,n/a,n/a,652,639,646,604,593,Discontinued,584,554,565,575,Discontinued,791,678,720,739,562,n/a,n/a,n/a,n/a,593,632,597,609,594,Discontinued,F 20,M 13,F 31,F 14,M 2,n/a,n/a,n/a,n/a,M 30,M 26,M 54,F 2,M 2,0.9,0.6,0.2,1.5,1.5,0,0.6,0.4,0,0.4,9.8,9.4,9.3,9.5,9.7
Mulrave,School Rankings,604 922-3223,West Vancouver,0,4.7,0,9.5,Discontinued,611,591,618,587,Discontinued,817,814,799,865,610,n/a,n/a,n/a,n/a,642,620,619,612,594,Discontinued,581,610,594,591,Discontinued,743,732,768,792,574,n/a,n/a,n/a,n/a,592,610,615,635,596,Discontinued,F 30,F 41,F 18,F 22,F 12,n/a,n/a,n/a,n/a,M 56,F 21,M 33,M 13,M 19,2,0.5,0.5,0.5,0.5,2.3,6.5,4.4,4,3.1,9.5,9.4,9.6,10,10
Irwin Park Elementary,School Rankings,604 981-1240,West Vancouver,45,6.2,0,8.8,Discontinued,586,548,531,602,Discontinued,696,711,688,795,556,n/a,n/a,n/a,n/a,602,614,583,566,601,Discontinued,586,576,522,570,Discontinued,778,740,681,731,548,n/a,n/a,n/a,n/a,562,617,576,571,596,Discontinued,F 14,F 2,F 32,M 4,M 19,n/a,n/a,n/a,n/a,M 46,M 6,M 19,F 11,M 11,3,0,2.7,6.5,1.4,3.8,18.9,12.3,12.3,12.6,8.8,9.4,9.3,8.2,9.8
Ecole Pauline Johnson Elementary,School Rankings,604 981-1225,West Vancouver,38.8,4.3,100,9.1,Discontinued,596,565,561,568,Discontinued,738,757,729,799,569,n/a,n/a,n/a,n/a,536,603,592,569,571,Discontinued,583,600,551,582,Discontinued,788,786,826,798,570,n/a,n/a,n/a,n/a,566,628,612,580,589,Discontinued,M 12,F 15,F 48,F 13,M 7,n/a,n/a,n/a,n/a,M 13,F 8,M 43,F 33,M 33,4.8,0.3,0.4,4,1.7,6.8,1.6,6.4,4.6,2.3,9.1,9.7,9.6,8.8,9.7
Ridgeview Elementary,School Rankings,604 981-1250,West Vancouver,39.1,6.9,0,8.8,Discontinued,590,534,569,573,Discontinued,726,727,773,714,552,n/a,n/a,n/a,n/a,580,618,584,564,583,Discontinued,551,587,576,573,Discontinued,724,764,764,750,562,n/a,n/a,n/a,n/a,560,579,584,561,552,Discontinued,F 34,F 25,F 5,F 12,F 20,n/a,n/a,n/a,n/a,M 11,F 13,F 2,M 31,M 33,5.7,2.6,4,2.7,1.8,13,8.8,10.2,8.2,6.7,8.8,8.9,9.3,9.3,9.2
Chartwell Elementary,School Rankings,604 981-1210,West Vancouver,40.6,6.8,0,8.6,Discontinued,540,546,511,522,Discontinued,719,694,712,717,532,n/a,n/a,n/a,n/a,511,549,524,526,538,Discontinued,550,549,583,558,Discontinued,733,710,773,773,555,n/a,n/a,n/a,n/a,573,584,555,621,569,Discontinued,M 17,F 13,M 5,F 2,F 20,n/a,n/a,n/a,n/a,F 9,M 56,M 3,F 7,F 1,7.8,3.2,3.7,5.5,6.1,4.7,10.5,4.5,13.6,12.3,8.6,8.2,8.9,9.1,9.1
Westcot,School Rankings,604 981-1270,West Vancouver,37.9,5.6,0,10,Discontinued,619,569,565,652,Discontinued,852,760,732,814,590,n/a,n/a,n/a,n/a,619,669,609,598,639,Discontinued,607,616,588,578,Discontinued,769,796,813,815,600,n/a,n/a,n/a,n/a,622,621,604,620,588,Discontinued,M 29,F 23,F 25,F 33,F 8,n/a,n/a,n/a,n/a,F 3,M 45,M 17,F 26,M 6,1,0.3,1,2,0.3,10.3,5.6,5.7,13.9,7.9,10,9.7,9.9,9.4,10
Ecole Cedardale,School Rankings,604 981-1390,West Vancouver,22.9,5.6,100,10,Discontinued,638,628,603,645,Discontinued,697,736,729,766,596,n/a,n/a,n/a,n/a,625,675,667,632,659,Discontinued,572,651,563,579,Discontinued,757,828,783,833,569,n/a,n/a,n/a,n/a,632,583,667,582,606,Discontinued,M 2,F 11,F 57,n/a,M 5,n/a,n/a,n/a,n/a,M 21,M 19,F 2,F 40,n/a,1.4,0.5,0,0.4,0,0,5.5,0,0,3.6,10,9.7,10,9.2,10
St Anthonys,School Rankings,604 922-0011,West Vancouver,0,7.1,0,9.1,Discontinued,539,528,515,578,Discontinued,732,644,750,733,580,n/a,n/a,n/a,n/a,574,534,511,564,578,Discontinued,599,619,573,581,Discontinued,843,823,750,844,569,n/a,n/a,n/a,n/a,523,579,556,587,574,Discontinued,n/a,n/a,M 24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M 30,n/a,7.1,2.4,8,3.7,3.6,2,0,3.8,0,2.8,9.1,9.4,9,8.9,9.9
